title,address,price,size,rooms,floor,url,date,provider
Helles 2-Zimmer in Friedrichshain,Boxhagener Straße 12 10249 Berlin,1150.00,58.0,2.0,2,https://www.immobilienscout24.de/expose/100001,2026-07-01,immobilienscout24
Gemütliche 3-Zimmer Altbau,Grünberger Straße 45 10249 Berlin,1480.00,82.0,3.0,3,https://www.immobilienscout24.de/expose/100002,2026-07-01,immobilienscout24
Moderne 1-Zimmer Wohnung,Rigaer Straße 8 10249 Berlin,890.00,35.0,1.0,1,https://www.immowelt.de/expose/200001,2026-07-02,immowelt
Großzügige 4-Zimmer Familienwohnung,Mainzer Straße 22 10249 Berlin,2100.00,110.0,4.0,4,https://www.immobilienscout24.de/expose/100003,2026-07-02,immobilienscout24
Ruhige 2-Zimmer mit Balkon,Wühlischstraße 31 10249 Berlin,1220.00,62.0,2.0,0,https://www.immowelt.de/expose/200002,2026-07-03,immowelt
Sanierte Altbauwohnung 3 Zimmer,Gärtnerstraße 17 10249 Berlin,1650.00,90.0,3.0,2,https://www.immobilienscout24.de/expose/100004,2026-07-03,immobilienscout24
Studio mit Einbauküche,Krossener Straße 5 10249 Berlin,820.00,28.0,1.0,3,https://www.immobilienscout24.de/expose/100005,2026-07-04,immobilienscout24
2-Zimmer Neubau mit Aufzug,Sonntagstraße 14 10249 Berlin,1380.00,65.0,2.0,5,https://www.immowelt.de/expose/200003,2026-07-04,immowelt
Charmante Altbau 2.5 Zimmer,Rotherstraße 3 10249 Berlin,1290.00,70.0,2.5,1,https://www.immobilienscout24.de/expose/100006,2026-07-05,immobilienscout24
Helle 3-Zimmer nahe Boxhagener Platz,Boxhagener Straße 67 10249 Berlin,1520.00,85.0,3.0,2,https://www.immobilienscout24.de/expose/100007,2026-07-05,immobilienscout24
Großes Studio mit Loftcharakter,Grünberger Straße 12 10249 Berlin,980.00,42.0,1.0,4,https://www.immowelt.de/expose/200004,2026-07-06,immowelt
Familienfreundliche 4-Zimmer,Wühlischstraße 8 10249 Berlin,2350.00,118.0,4.0,0,https://www.immobilienscout24.de/expose/100008,2026-07-06,immobilienscout24
Kompakte 2-Zimmer Erdgeschoss,Mainzer Straße 55 10249 Berlin,1050.00,52.0,2.0,0,https://www.immowelt.de/expose/200005,2026-07-07,immowelt
3-Zimmer mit Südbalkon,Gärtnerstraße 33 10249 Berlin,1720.00,95.0,3.0,3,https://www.immobilienscout24.de/expose/100009,2026-07-07,immobilienscout24
Moderne 2-Zimmer mit Einbauküche,Rigaer Straße 42 10249 Berlin,1310.00,68.0,2.0,2,https://www.immobilienscout24.de/expose/100010,2026-07-08,immobilienscout24
Geräumige 3-Zimmer Dachgeschoss,Krossener Straße 28 10249 Berlin,1890.00,100.0,3.0,5,https://www.immowelt.de/expose/200006,2026-07-08,immowelt
1-Zimmer ideal für Singles,Sonntagstraße 39 10249 Berlin,850.00,33.0,1.0,1,https://www.immobilienscout24.de/expose/100011,2026-07-09,immobilienscout24
2-Zimmer renoviert mit Parkett,Rotherstraße 19 10249 Berlin,1180.00,60.0,2.0,3,https://www.immobilienscout24.de/expose/100012,2026-07-09,immobilienscout24
Altbau 3-Zimmer hohe Decken,Boxhagener Straße 90 10249 Berlin,1600.00,88.0,3.0,2,https://www.immowelt.de/expose/200007,2026-07-10,immowelt
Neubauwohnung 2-Zimmer mit Aufzug,Grünberger Straße 78 10249 Berlin,1450.00,72.0,2.0,4,https://www.immobilienscout24.de/expose/100013,2026-07-10,immobilienscout24
Gemütliche 1-Zimmer Hinterhof,Wühlischstraße 50 10249 Berlin,780.00,30.0,1.0,2,https://www.immobilienscout24.de/expose/100014,2026-07-11,immobilienscout24
4-Zimmer Familienwohnung Altbau,Mainzer Straße 11 10249 Berlin,2200.00,115.0,4.0,1,https://www.immowelt.de/expose/200008,2026-07-11,immowelt
2.5-Zimmer mit Balkon und Keller,Gärtnerstraße 60 10249 Berlin,1350.00,74.0,2.5,2,https://www.immobilienscout24.de/expose/100015,2026-07-12,immobilienscout24
Ruhige 3-Zimmer im Hinterhof,Rigaer Straße 77 10249 Berlin,1580.00,87.0,3.0,1,https://www.immobilienscout24.de/expose/100016,2026-07-12,immobilienscout24
Frisch sanierte 2-Zimmer,Krossener Straße 44 10249 Berlin,1250.00,63.0,2.0,3,https://www.immowelt.de/expose/200009,2026-07-13,immowelt
