title,address,price,size,rooms,floor,url,date,provider
"Helle 3-Zimmer-Wohnung mit Balkon","Invalidenstraße 50, 10115 Berlin",1250.00,72.5,3.0,2,https://www.immobilienscout24.de/expose/100001,2026-07-10,immobilienscout24
"Gemütliche 2-Zimmer-Wohnung","Kastanienallee 33, 10435 Berlin",950.00,58.0,2.0,1,https://www.immobilienscout24.de/expose/100002,2026-07-09,immobilienscout24
"Moderne 1-Zimmer-Wohnung","Schönhauser Allee 12, 10437 Berlin",720.00,38.0,1.0,4,https://www.immowelt.de/expose/100003,2026-07-08,immowelt
,"Choriner Str. 5, 10119 Berlin",1380.00,80.0,3.0,3,https://www.immobilienscout24.de/expose/100004,2026-07-07,immobilienscout24
"Ruhige 2-Zimmer-Wohnung","Rykestraße 28, 10405 Berlin",1050.00,62.0,2.0,2,https://www.immowelt.de/expose/100005,2026-07-10,immowelt
"Altbau-Wohnung mit Stuck","Zionskirchstraße 18, 10119 Berlin",1600.00,95.0,4.0,1,https://www.kleinanzeigen.de/s-anzeige/100006,2026-07-06,kleinanzeigen
"Dachgeschoss-Wohnung","Wörther Str. 4, 10435 Berlin",1150.00,70.0,2.5,5,https://www.immobilienscout24.de/expose/100007,2026-07-05,immobilienscout24
"Frisch renoviert","Linienstraße 90, 10115 Berlin",1420.00,78.0,3.0,0,https://www.immowelt.de/expose/100008,2026-07-09,immowelt
"Schöne Stadtlage","Torstraße 125, 10119 Berlin",1350.00,75.0,3.0,2,https://www.immobilienscout24.de/expose/100009,2026-07-08,immobilienscout24
"Helle Erdgeschosswohnung","Kollwitzstraße 67, 10405 Berlin",880.00,50.0,2.0,0,https://www.immowelt.de/expose/100010,2026-07-07,immowelt
"Moderne Wohnung in Friedrichshain","Boxhagener Str. 45, 10245 Berlin",990.00,60.0,2.0,3,https://www.immobilienscout24.de/expose/100011,2026-07-10,immobilienscout24
"3-Zimmer-Wohnung mit Balkon","Simon-Dach-Str. 30, 10245 Berlin",1180.00,68.0,3.0,1,https://www.immobilienscout24.de/expose/100012,2026-07-09,immobilienscout24
"3-Zimmer-Wohnung mit Balkon","Simon-Dach-Str. 30, 10245 Berlin",1180.00,68.0,3.0,1,https://www.immobilienscout24.de/expose/100012,2026-07-09,immobilienscout24
"Kreuzberger Altbau","Oranienstraße 85, 10969 Berlin",850.00,55.0,2.0,2,https://www.kleinanzeigen.de/s-anzeige/100014,2026-07-08,kleinanzeigen
"Sonnige Wohnung","Graefestraße 20, 10967 Berlin",780.00,48.0,1.5,1,https://www.immowelt.de/expose/100015,2026-07-07,immowelt
"Geräumige 4-Zimmer","Urbanstraße 55, 10967 Berlin",1650.00,110.0,4.0,3,https://www.immobilienscout24.de/expose/100016,2026-07-10,immobilienscout24
,"Warschauer Str. 20, 10243 Berlin",1080.00,65.0,2.5,2,https://www.immowelt.de/expose/100017,2026-07-09,immowelt
"Ruhige Hinterhauswohnung","Wühlischstraße 12, 10245 Berlin",690.00,42.0,1.5,0,https://www.kleinanzeigen.de/s-anzeige/100018,2026-07-08,kleinanzeigen
"Moderne 2-Zimmer","Samariterstraße 8, 10247 Berlin",1020.00,58.0,2.0,4,https://www.immobilienscout24.de/expose/100019,2026-07-07,immobilienscout24
"Schöne Lage nahe Volkspark","Libauer Str. 5, 10245 Berlin",930.00,56.0,2.0,1,https://www.immowelt.de/expose/100020,2026-07-06,immowelt
"Stilvolle Wohnung in Charlottenburg","Kurfürstendamm 42, 10707 Berlin",1800.00,95.0,3.5,4,https://www.immobilienscout24.de/expose/100021,2026-07-10,immobilienscout24
"Altbau mit Stuck","Kantstraße 120, 10625 Berlin",1550.00,88.0,3.0,2,https://www.immowelt.de/expose/100022,2026-07-09,immowelt
"Schöne 2-Zimmer","Leibnizstraße 35, 10625 Berlin",1100.00,60.0,2.0,1,https://www.immobilienscout24.de/expose/100023,2026-07-08,immobilienscout24
,"Savignyplatz 3, 10623 Berlin",2100.00,120.0,4.0,5,https://www.immobilienscout24.de/expose/100024,2026-07-07,immobilienscout24
"Ruhige Seitenstraße","Pestalozzistraße 18, 10627 Berlin",1250.00,72.0,3.0,2,https://www.immowelt.de/expose/100025,2026-07-10,immowelt
"Ruhige Seitenstraße","Pestalozzistraße 18, 10627 Berlin",1250.00,72.0,3.0,2,https://www.immowelt.de/expose/100025,2026-07-10,immowelt
"Helles Apartment","Goethestraße 22, 10625 Berlin",980.00,55.0,1.5,3,https://www.kleinanzeigen.de/s-anzeige/100027,2026-07-08,kleinanzeigen
"Großzügige Schöneberger Wohnung","Hauptstraße 78, 10827 Berlin",1320.00,82.0,3.0,0,https://www.immobilienscout24.de/expose/100028,2026-07-09,immobilienscout24
"2-Zimmer nahe Winterfeldtplatz","Goltzstraße 12, 10781 Berlin",1050.00,63.0,2.0,1,https://www.immowelt.de/expose/100029,2026-07-07,immowelt
"Kompaktes Studio","Motzstraße 5, 10777 Berlin",750.00,35.0,1.0,2,https://www.immobilienscout24.de/expose/100030,2026-07-06,immobilienscout24
"Günstige 2-Zimmer","Karl-Marx-Str. 100, 12043 Berlin","650,00","48,5",2.0,,https://www.immobilienscout24.de/expose/100031,2026-07-10,immobilienscout24
"1-Zimmer in Wedding","Müllerstraße 45, 13353 Berlin","850,50",40.0,1.0,2,https://www.immowelt.de/expose/100032,2026-07-09,immowelt
,"Hermannstraße 200, 12049 Berlin","1.100,00",66.0,2.5,1,https://www.immobilienscout24.de/expose/100033,2026-07-08,immobilienscout24
"Kleines Studio","Badstraße 12, 13357 Berlin",600.00,"35,0",1.0,,https://www.kleinanzeigen.de/s-anzeige/100034,2026-07-07,kleinanzeigen
"3-Zimmer in Tempelhof","Alt-Tempelhof 25, 12103 Berlin","1.350,00","80,5",3.0,2,https://www.immowelt.de/expose/100035,2026-07-10,immowelt
